variable;definition
abbr;"abbreviation of host plant species name (genus_species),  genus and species each shortened to the first four letters, full names are listed in ""hostplants-abbreviations-fullnames.csv"""
elev;elevation [m a.s.l.] of subplot in which species was recorded
year;year of record
