variable;definition
spec;butterfly species name
p.value;p-value of Wilcoxon rank-sum tests, checking if elevational shift between years was significant (p<= 0.05)
no;individual ID for each butterfly species
2009;abundance weighted mean elevation of butterfly species in 2009 [m]
ind09;number of individuals in 2009
2019;abundance weighted mean elevation of butterfly species in 2019 [m]
ind19;number of individuals in 2019
diff;shift in mean elevation of butterfly species between 2009 and 2019 [m]
vorzeichen;indicating if shift was upwards (+) or downwards (-)
