"","year","daymeanT"
"1",2009,12.2100296757348
"2",2010,10.7668292927895
"3",2011,12.1254982561456
"4",2012,12.2127394170495
"5",2013,11.1069054384801
"6",2014,10.795931928555
"7",2015,12.5024332091979
"8",2016,12.0147106448111
"9",2017,12.3548738319311
"10",2018,13.4833962036403
"11",2019,12.4131862803605
