"","year","daymeanT"
"1",2009,5.70469573498879
"2",2010,4.50115166794521
"3",2011,6.6300713921369
"4",2012,5.64724092643769
"5",2013,5.09457698619801
"6",2014,6.6877803522851
"7",2015,6.74121218193333
"8",2016,6.00205670221785
"9",2017,6.00526965382931
"10",2018,7.21777707685762
"11",2019,6.63178225271831
