"","abbr","p.value","no","2009","no.sb09","2019","no.sb19","diff","vorzeichen"
"68","moli_caer",0.144125424665643,68,1035.63636363636,22,644,1,-391.636363636364,"-"
"69","nard_stri",0.419778546399105,69,1452.40909090909,22,1411.72727272727,22,-40.6818181818182,"-"
"70","orig_vulg",0.993401279261011,70,966.038461538462,26,937.096774193548,31,-28.9416873449131,"-"
"71","phle_prat",0.781324640806832,71,1104.25,16,1065.76470588235,17,-38.4852941176471,"-"
"72","pimp_saxi",0.866880832268926,72,825.5,6,861.5,6,36,"+"
"73","plan_atra",0.479500122186953,73,815,1,1106,2,291,"+"
"74","plan_lanc",0.417801731227436,74,1021.92682926829,123,1047.56115107914,139,25.634321810844,"+"
"75","plan_medi",0.943911592554568,75,1142.59322033898,59,1137.80357142857,56,-4.78964891041164,"-"
"76","poa_alpi",0.68904674913261,76,1580.70149253731,67,1545.48214285714,56,-35.2193496801706,"-"
"77","poa_annu",0.036220995917855,77,958.5,12,1104.27777777778,18,145.777777777778,"+"
"78","poa_nemo",0.253887299829074,78,1527.8,5,1599.5,4,71.7,"+"
"79","poa_prat",0.395361705491648,79,993.512195121951,41,1038.625,48,45.1128048780488,"+"
"80","poa_triv",0.261312620419853,80,1015.45833333333,24,984.837837837838,37,-30.6204954954956,"-"
"81","pote_aure",0.50017140584961,81,1626.51666666667,60,1658.68965517241,58,32.1729885057471,"+"
"82","pote_brau",0.0321393311683,82,1821,9,1894.33333333333,9,73.3333333333333,"+"
"83","pote_erec",0.69323386149708,83,1246.64233576642,137,1262.18493150685,146,15.5425957404259,"+"
"84","pote_rept",1,84,900.666666666667,3,900.666666666667,3,0,"0"
"85","prim_elat",0.299938429997811,85,952.785714285714,28,1005.28,25,52.4942857142856,"+"
"86","prim_veri",0.391365938307552,86,644,7,692.714285714286,7,48.7142857142857,"+"
"87","rhin_alec",0.0021856925432068,87,722.6,5,784.454545454545,11,61.8545454545455,"+"
"88","rubu_idae",1,88,1399.6,5,1402.66666666667,6,3.06666666666683,"+"
"89","rubu_saxa",0.0503992828714823,89,1326,2,1546,4,220,"+"
"90","rume_acet",0.723175781770119,90,967.607142857143,28,918.825,40,-48.7821428571428,"-"
"91","sang_mino",NA,91,985,2,985,2,0,"0"
"92","sesl_albi",0.395735949088143,92,1468.77222222222,180,1427.90361445783,166,-40.8686077643908,"-"
"93","sorb_aucu",0.876954642633822,93,1313,4,1395,4,82,"+"
"94","thym_prae",0.715778634253817,94,1308.01886792453,53,1325.2875,80,17.2686320754717,"+"
"95","thym_pule",0.218968152944085,95,977.041666666667,24,890.647058823529,17,-86.3946078431372,"-"
"96","trif_medi",1,96,788,6,803,2,15,"+"
"97","trif_mont",1,97,858,8,858,4,0,"0"
"98","trif_prat",0.459791631377859,98,1120.5985915493,142,1160.73076923077,156,40.1321776814734,"+"
"99","trif_repe",0.639966967345142,99,981.818181818182,66,1010.04411764706,68,28.2259358288769,"+"
"100","urti_dioi",0.851595659312836,100,1189,4,1058.66666666667,3,-130.333333333333,"-"
"101","vacc_myrt",0.604923761314238,101,1616.66,50,1589.33962264151,53,-27.3203773584908,"-"
"102","vacc_ulig",1,102,2034,1,2030.6,5,-3.40000000000009,"-"
"103","vacc_viti",0.248725398986274,103,1828.39130434783,23,1878,13,49.608695652174,"+"
"104","vale_mont",0.196705602458947,104,1687.66666666667,3,1812,3,124.333333333333,"+"
"105","vale_saxa",0.972166200486689,105,1231.89189189189,37,1217.34285714286,35,-14.5490347490347,"-"
"106","vale_trip",0.0434367830594099,106,1381.2,5,1601.2,5,220,"+"
"107","vero_arve",0.34577858615116,107,973.333333333333,3,818,1,-155.333333333333,"-"
"108","vero_cham",0.73391204373989,108,1129.58333333333,132,1110.376,125,-19.2073333333333,"-"
"109","vici_crac",0.156874853288813,109,763.846153846154,13,732.2,10,-31.6461538461538,"-"
"110","viol_bifl",0.326993238363896,110,1621.38709677419,93,1663.16279069767,86,41.7756939234807,"+"
"111","viol_coll",0.414216178242525,111,1000.5,2,1016,3,15.5,"+"
"112","viol_hirt",0.373439492130438,112,687.5,8,656.4,10,-31.1,"-"
"113","viol_reic",0.706589960843086,113,924,6,917,5,-7,"-"
