delta;plot;elev;man.bin;div.hp;cov.hp;flow_cov;temps;tempy;ptempy;ptemps
-6;H1;818;1;-6;-38.71;0.49;-0.16;0.57;0.976678006;0.757209865
-2;H2;985;1;-4;-45.04;-0.97;0;0.72;1.236501604;1.017033641
4;H3;1106;1;-7;-22.76;0.26;0.12;0.85;1.430629517;1.211161549
5;H4;1326;1;7;9.36;1.79;0.31;1.03;1.686684799;1.46721665
10;H5;1580;0;0;-21.55;2.22;0.46;1.19;1.843949588;1.624481593
0;H6;1807;0;0;-11.3;0.54;0.55;1.27;1.832247475;1.612779596
-1;H7;1986;0;2;4.25;0.54;0.56;1.28;1.711663563;1.492195509
-13;HO1;828;1;3;-14.72;-2.65;-0.15;0.57;0.991609094;0.77214122
4;HO2;1046;1;7;-19.24;2.07;0.06;0.79;1.339305103;1.119837138
4;HO3;1332;1;5;19.72;9.31;0.31;1.03;1.691470552;1.47200236
0;HO4;1546;0;2;-28.98;0.82;0.45;1.17;1.833245168;1.613777197
1;HO5;1821;1;-1;-12.02;0.86;0.55;1.27;1.824939285;1.60547115
1;T1;716;1;-1;4.98;-2.5;-0.27;0.45;0.782017074;0.56254911
-9;T3;663;1;NA;NA;0.01;-0.31;0.41;0.71095513;0.491487057
-6;T4;644;1;5;-30.64;-0.98;-0.35;0.38;0.656776176;0.43730811
-11;T5;749;1;-13;9.3;3.14;-0.22;0.5;0.86633031;0.646862387
1;W1;815;0;-1;-19.24;0.53;-0.16;0.56;0.970031902;0.750563995
-2;W2;1016;0;0;-20.6;0.04;0.02;0.74;1.26269287;1.043224889
11;W3;1162;0;-6;-22.04;2.16;0.17;0.89;1.50023575;1.280767775
3;W4;1235;0;1;4.16;-0.38;0.23;0.96;1.589933509;1.370465521
-1;W5;1446;0;-2;-0.82;0.26;0.39;1.12;1.785374128;1.565906012
-1;W6;1805;0;0;-37.43;-0.42;0.54;1.27;1.837197315;1.617729237
3;W7;2017;0;9;-3.58;0.52;0.55;1.28;1.674464304;1.45499622
-4;WmA1;768;1;1;-21.7;3.46;-0.2;0.53;0.908285318;0.688817252
-5;WmA2;1240;1;5;-19.16;-0.56;0.23;0.96;1.591091324;1.371623315
-5;WmA3;1423;1;2;4.41;-0.18;0.38;1.11;1.774464031;1.554995989
-6;WmA4;1770;0;1;1.55;0.47;0.54;1.26;1.842740075;1.623272086
5;WmA5;2034;0;0;-13.17;0.76;0.55;1.27;1.65501118;1.435543317
-4;WmB1;962;1;2;-19.37;1.18;-0.01;0.71;1.214710815;0.995242654
0;WmB2;1139;1;1;-18.57;2.41;0.15;0.87;1.469995022;1.250526975
3;WmB3;1418;1;3;4.53;2.27;0.37;1.1;1.7636223;1.544154295
2;WmB4;1654;1;-5;-29.01;-0.68;0.5;1.23;1.860936758;1.641468857
2;WmB5;1812;0;-1;-12.3;-0.36;0.54;1.27;1.835598224;1.616130341
